#⃣	Teclas: #|Teclas
*⃣	Teclas: *|Teclas
⬇	flecha hacia abajo|abajo|flecha abajo|hacia abajo|negativo|sur
⬛	cuadrado negro grande|cuadrado|negro
⬜	cuadrado blanco grande|blanco|cuadrado|grande
⭐	estrella|estelar
⭕	círculo rojo hueco|aro|círculo|o|rojo
、	coma ideográfica|coma|ideográfica
。	punto ideográfico|ideográfico|punto|punto final
〈	corchete angular de apertura|abrir corches|antilambda|chevrón|corchete|corchete de apertura|tuple
〉	corchete angular de cierre|antilambda|cerrar corchetes|chevrón|corchete|corchete de cierre|tuple
《	corchete angular doble de apertura|abrir corchetes|antilambda|chevrón|comillas latinas|corchete|corchete de apertura
》	corchete angular doble de cierre|antilambda|cerrar corchetes|chevrón|comillas latinas|corchete|corchete de cierre
「	corchete esquinado de apertura|abrir corchetes|comillas chinas|comillas japonesas|corchete|corchete de apertura
」	corchete esquinado de cierre|cerrar corchetes|comillas chinas|comillas japonesas|corchete|corchete de cierre
『	corchete esquinado de apertura hueco|abrir corchetes|comillas chinas|comillas japonesas|corchete|corchete de apertura
』	corchete esquinado de cierre hueco|cerrar corchetes|comillas chinas|comillas japonesas|corchete|corchete de cierre
【	corchete lenticular de apertura|abrir corchetes|corchete|corchete de apertura|lenticular
】	corchete lenticular de cierre|cerrar corchetes|corchete|corchete de cierre|lenticular
〔	corchete caparazón tortuga de apertura|abrir corchetes|corchete|corchete de apertura|corchete tortuga
〕	corchete caparazón tortuga de cierre|cerrar corchetes|corchete|corchete de cierre|corchete tortuga
〖	corchete lenticular de apertura hueco|abrir corchetes|corchete|corchete de apertura|lenticular
〗	corchete lenticular de cierre hueco|cerrar corchetes|corchete|corchete de cierre|lenticular
〰	línea ondulada|guion|guión|marca de sonido largo|ondulado
〽	alternancia|marca|marca de alternancia
・	punto medio katakana|katakana|punto|punto volado|puntos
㊗	ideograma japonés para "enhorabuena"|enhorabuena|ideograma|japonés|kanji
㊙	ideograma japonés para "secreto"|ideograma|japonés|kanji|secreto
﷼	rial|divisa
🀄	dragón rojo de mahjong|dragón|ficha de mahjong|mahjong|mosaico|rojo
🃏	carta comodín|carta|carta de joker|casino|comodín|joker|naipes|poker
🅰	grupo sanguíneo A|A|grupo|sanguíneo|tipo A
🅱	grupo sanguíneo B|B|grupo|sanguíneo|tipo B
🅾	grupo sanguíneo tipo O|grupo O|O|tipo O
🅿	estacionamiento|aparcamiento|letra|P|parking
🆎	grupo sanguíneo AB|AB|grupo|sanguíneo|tipo AB
🆑	botón CL|borrar|borrar recuadrado|CL|cuadrado|símbolo borrar
🆒	botón COOL|cool|cuadrado|genial|interesante|mola|símbolo interesante
🆓	gratis|cuadrado|free|libre|símbolo gratis
🆔	símbolo de identificación|ID|identidad|símbolo identidad
🆕	botón NEW|botón|NEW|nuevo
🆖	botón NG|NG|no bueno|not good|símbolo no bueno
🆗	botón OK|cuadrado ok|ok|señal ok
🆘	auxilio|ayuda|cuadrado socorro|símbolo|símbolo de socorro|socorro|sos
🆙	botón UP!|cuadrado novedad|novedad|nueva información|símbolo novedad|up
🆚	botón VS|contra|cuadrado versus|frente a|símbolo contra|símbolo frente a|símbolo versus|versus|vs
🇦🇨	Bandera: Isla Ascensión|Bandera
🇦🇩	Bandera: Andorra|Bandera
🇦🇪	Bandera: Emiratos Árabes Unidos|Bandera
🇦🇫	Bandera: Afganistán|Bandera
🇦🇬	Bandera: Antigua y Barbuda|Bandera
🇦🇮	Bandera: Anguila|Bandera
🇦🇱	Bandera: Albania|Bandera
🇦🇲	Bandera: Armenia|Bandera
🇦🇴	Bandera: Angola|Bandera
🇦🇶	Bandera: Antártida|Bandera
🇦🇷	Bandera: Argentina|Bandera
🇦🇸	Bandera: Samoa Americana|Bandera
🇦🇹	Bandera: Austria|Bandera
🇦🇺	Bandera: Australia|Bandera
🇦🇼	Bandera: Aruba|Bandera
🇦🇽	Bandera: Islas Åland|Bandera
🇦🇿	Bandera: Azerbaiyán|Bandera
🇧🇦	Bandera: Bosnia-Herzegovina|Bandera
🇧🇧	Bandera: Barbados|Bandera
🇧🇩	Bandera: Bangladés|Bandera
🇧🇪	Bandera: Bélgica|Bandera
🇧🇫	Bandera: Burkina Faso|Bandera
🇧🇬	Bandera: Bulgaria|Bandera
🇧🇭	Bandera: Baréin|Bandera
🇧🇮	Bandera: Burundi|Bandera
🇧🇯	Bandera: Benín|Bandera
🇧🇱	Bandera: San Bartolomé|Bandera
🇧🇲	Bandera: Bermudas|Bandera
🇧🇳	Bandera: Brunéi|Bandera
🇧🇴	Bandera: Bolivia|Bandera
🇧🇶	Bandera: Caribe neerlandés|Bandera
🇧🇷	Bandera: Brasil|Bandera
🇧🇸	Bandera: Bahamas|Bandera
🇧🇹	Bandera: Bután|Bandera
🇧🇻	Bandera: Isla Bouvet|Bandera
🇧🇼	Bandera: Botsuana|Bandera
🇧🇾	Bandera: Bielorrusia|Bandera
🇧🇿	Bandera: Belice|Bandera
🇨🇦	Bandera: Canadá|Bandera
🇨🇨	Bandera: Islas Cocos|Bandera
🇨🇩	Bandera: República Democrática del Congo|Bandera
🇨🇫	Bandera: República Centroafricana|Bandera
🇨🇬	Bandera: República del Congo|Bandera
🇨🇭	Bandera: Suiza|Bandera
🇨🇮	Bandera: Costa de Marfil|Bandera
🇨🇰	Bandera: Islas Cook|Bandera
🇨🇱	Bandera: Chile|Bandera
🇨🇲	Bandera: Camerún|Bandera
🇨🇳	Bandera: China|Bandera
🇨🇴	Bandera: Colombia|Bandera
🇨🇵	Bandera: Isla Clipperton|Bandera
🇨🇶	Bandera: Sark|Bandera
🇨🇷	Bandera: Costa Rica|Bandera
🇨🇺	Bandera: Cuba|Bandera
🇨🇻	Bandera: Cabo Verde|Bandera
🇨🇼	Bandera: Curazao|Bandera
🇨🇽	Bandera: Isla de Navidad|Bandera
🇨🇾	Bandera: Chipre|Bandera
🇨🇿	Bandera: Chequia|Bandera
🇩🇪	Bandera: Alemania|Bandera
🇩🇬	Bandera: Diego García|Bandera
🇩🇯	Bandera: Yibuti|Bandera
🇩🇰	Bandera: Dinamarca|Bandera
🇩🇲	Bandera: Dominica|Bandera
🇩🇴	Bandera: República Dominicana|Bandera
🇩🇿	Bandera: Argelia|Bandera
🇪🇦	Bandera: Ceuta y Melilla|Bandera
🇪🇨	Bandera: Ecuador|Bandera
🇪🇪	Bandera: Estonia|Bandera
🇪🇬	Bandera: Egipto|Bandera
🇪🇭	Bandera: Sáhara Occidental|Bandera
🇪🇷	Bandera: Eritrea|Bandera
🇪🇸	Bandera: España|Bandera
🇪🇹	Bandera: Etiopía|Bandera
🇪🇺	Bandera: Unión Europea|Bandera
🇫🇮	Bandera: Finlandia|Bandera
🇫🇯	Bandera: Fiyi|Bandera
🇫🇰	Bandera: Islas Malvinas|Bandera
🇫🇲	Bandera: Micronesia|Bandera
🇫🇴	Bandera: Islas Feroe|Bandera
🇫🇷	Bandera: Francia|Bandera
🇬🇦	Bandera: Gabón|Bandera
🇬🇧	Bandera: Reino Unido|Bandera
🇬🇩	Bandera: Granada|Bandera
🇬🇪	Bandera: Georgia|Bandera
🇬🇫	Bandera: Guayana Francesa|Bandera
🇬🇬	Bandera: Guernesey|Bandera
🇬🇭	Bandera: Ghana|Bandera
🇬🇮	Bandera: Gibraltar|Bandera
🇬🇱	Bandera: Groenlandia|Bandera
🇬🇲	Bandera: Gambia|Bandera
🇬🇳	Bandera: Guinea|Bandera
🇬🇵	Bandera: Guadalupe|Bandera
🇬🇶	Bandera: Guinea Ecuatorial|Bandera
🇬🇷	Bandera: Grecia|Bandera
🇬🇸	Bandera: Islas Georgia del Sur y Sándwich del Sur|Bandera
🇬🇹	Bandera: Guatemala|Bandera
🇬🇺	Bandera: Guam|Bandera
🇬🇼	Bandera: Guinea-Bisáu|Bandera
🇬🇾	Bandera: Guyana|Bandera
🇭🇰	Bandera: RAE de Hong Kong (China)|Bandera
🇭🇲	Bandera: Islas Heard y McDonald|Bandera
🇭🇳	Bandera: Honduras|Bandera
🇭🇷	Bandera: Croacia|Bandera
🇭🇹	Bandera: Haití|Bandera
🇭🇺	Bandera: Hungría|Bandera
🇮🇨	Bandera: Islas Canarias|Bandera
🇮🇩	Bandera: Indonesia|Bandera
🇮🇪	Bandera: Irlanda|Bandera
🇮🇱	Bandera: Israel|Bandera
🇮🇲	Bandera: Isla de Man|Bandera
🇮🇳	Bandera: India|Bandera
🇮🇴	Bandera: Territorio Británico del Océano Índico|Bandera
🇮🇶	Bandera: Irak|Bandera
🇮🇷	Bandera: Irán|Bandera
🇮🇸	Bandera: Islandia|Bandera
🇮🇹	Bandera: Italia|Bandera
🇯🇪	Bandera: Jersey|Bandera
🇯🇲	Bandera: Jamaica|Bandera
🇯🇴	Bandera: Jordania|Bandera
🇯🇵	Bandera: Japón|Bandera
🇰🇪	Bandera: Kenia|Bandera
🇰🇬	Bandera: Kirguistán|Bandera
🇰🇭	Bandera: Camboya|Bandera
🇰🇮	Bandera: Kiribati|Bandera
🇰🇲	Bandera: Comoras|Bandera
🇰🇳	Bandera: San Cristóbal y Nieves|Bandera
🇰🇵	Bandera: Corea del Norte|Bandera
🇰🇷	Bandera: Corea del Sur|Bandera
🇰🇼	Bandera: Kuwait|Bandera
🇰🇾	Bandera: Islas Caimán|Bandera
🇰🇿	Bandera: Kazajistán|Bandera
🇱🇦	Bandera: Laos|Bandera
🇱🇧	Bandera: Líbano|Bandera
🇱🇨	Bandera: Santa Lucía|Bandera
🇱🇮	Bandera: Liechtenstein|Bandera
🇱🇰	Bandera: Sri Lanka|Bandera
🇱🇷	Bandera: Liberia|Bandera
🇱🇸	Bandera: Lesoto|Bandera
🇱🇹	Bandera: Lituania|Bandera
🇱🇺	Bandera: Luxemburgo|Bandera
🇱🇻	Bandera: Letonia|Bandera
🇱🇾	Bandera: Libia|Bandera
🇲🇦	Bandera: Marruecos|Bandera
🇲🇨	Bandera: Mónaco|Bandera
🇲🇩	Bandera: Moldavia|Bandera
🇲🇪	Bandera: Montenegro|Bandera
🇲🇫	Bandera: San Martín|Bandera
🇲🇬	Bandera: Madagascar|Bandera
🇲🇭	Bandera: Islas Marshall|Bandera
🇲🇰	Bandera: Macedonia del Norte|Bandera
🇲🇱	Bandera: Mali|Bandera
🇲🇲	Bandera: Myanmar (Birmania)|Bandera
🇲🇳	Bandera: Mongolia|Bandera
🇲🇴	Bandera: RAE de Macao (China)|Bandera
🇲🇵	Bandera: Islas Marianas del Norte|Bandera
🇲🇶	Bandera: Martinica|Bandera
🇲🇷	Bandera: Mauritania|Bandera
🇲🇸	Bandera: Montserrat|Bandera
🇲🇹	Bandera: Malta|Bandera
🇲🇺	Bandera: Mauricio|Bandera
🇲🇻	Bandera: Maldivas|Bandera
🇲🇼	Bandera: Malaui|Bandera
🇲🇽	Bandera: México|Bandera
🇲🇾	Bandera: Malasia|Bandera
🇲🇿	Bandera: Mozambique|Bandera
🇳🇦	Bandera: Namibia|Bandera
🇳🇨	Bandera: Nueva Caledonia|Bandera
🇳🇪	Bandera: Níger|Bandera
🇳🇫	Bandera: Isla Norfolk|Bandera
🇳🇬	Bandera: Nigeria|Bandera
🇳🇮	Bandera: Nicaragua|Bandera
🇳🇱	Bandera: Países Bajos|Bandera
🇳🇴	Bandera: Noruega|Bandera
🇳🇵	Bandera: Nepal|Bandera
🇳🇷	Bandera: Nauru|Bandera
🇳🇺	Bandera: Niue|Bandera
🇳🇿	Bandera: Nueva Zelanda|Bandera
🇴🇲	Bandera: Omán|Bandera
🇵🇦	Bandera: Panamá|Bandera
🇵🇪	Bandera: Perú|Bandera
🇵🇫	Bandera: Polinesia Francesa|Bandera
🇵🇬	Bandera: Papúa Nueva Guinea|Bandera
🇵🇭	Bandera: Filipinas|Bandera
🇵🇰	Bandera: Pakistán|Bandera
🇵🇱	Bandera: Polonia|Bandera
🇵🇲	Bandera: San Pedro y Miquelón|Bandera
🇵🇳	Bandera: Islas Pitcairn|Bandera
🇵🇷	Bandera: Puerto Rico|Bandera
🇵🇸	Bandera: Territorios Palestinos|Bandera
🇵🇹	Bandera: Portugal|Bandera
🇵🇼	Bandera: Palaos|Bandera
🇵🇾	Bandera: Paraguay|Bandera
🇶🇦	Bandera: Catar|Bandera
🇷🇪	Bandera: Reunión|Bandera
🇷🇴	Bandera: Rumania|Bandera
🇷🇸	Bandera: Serbia|Bandera
🇷🇺	Bandera: Rusia|Bandera
🇷🇼	Bandera: Ruanda|Bandera
🇸🇦	Bandera: Arabia Saudita|Bandera
🇸🇧	Bandera: Islas Salomón|Bandera
🇸🇨	Bandera: Seychelles|Bandera
🇸🇩	Bandera: Sudán|Bandera
🇸🇪	Bandera: Suecia|Bandera
🇸🇬	Bandera: Singapur|Bandera
🇸🇭	Bandera: Santa Elena|Bandera
🇸🇮	Bandera: Eslovenia|Bandera
🇸🇯	Bandera: Svalbard y Jan Mayen|Bandera
🇸🇰	Bandera: Eslovaquia|Bandera
🇸🇱	Bandera: Sierra Leona|Bandera
🇸🇲	Bandera: San Marino|Bandera
🇸🇳	Bandera: Senegal|Bandera
🇸🇴	Bandera: Somalia|Bandera
🇸🇷	Bandera: Surinam|Bandera
🇸🇸	Bandera: Sudán del Sur|Bandera
🇸🇹	Bandera: Santo Tomé y Príncipe|Bandera
🇸🇻	Bandera: El Salvador|Bandera
🇸🇽	Bandera: Sint Maarten|Bandera
🇸🇾	Bandera: Siria|Bandera
🇸🇿	Bandera: Esuatini|Bandera
🇹🇦	Bandera: Tristán de Acuña|Bandera
🇹🇨	Bandera: Islas Turcas y Caicos|Bandera
🇹🇩	Bandera: Chad|Bandera
🇹🇫	Bandera: Territorios Australes Franceses|Bandera
🇹🇬	Bandera: Togo|Bandera
🇹🇭	Bandera: Tailandia|Bandera
🇹🇯	Bandera: Tayikistán|Bandera
🇹🇰	Bandera: Tokelau|Bandera
🇹🇱	Bandera: Timor Oriental|Bandera
🇹🇲	Bandera: Turkmenistán|Bandera
🇹🇳	Bandera: Túnez|Bandera
🇹🇴	Bandera: Tonga|Bandera
🇹🇷	Bandera: Turquía|Bandera
🇹🇹	Bandera: Trinidad y Tobago|Bandera
🇹🇻	Bandera: Tuvalu|Bandera
🇹🇼	Bandera: Taiwán|Bandera
🇹🇿	Bandera: Tanzania|Bandera
🇺🇦	Bandera: Ucrania|Bandera
🇺🇬	Bandera: Uganda|Bandera
🇺🇲	Bandera: Islas Ultramarinas de EE.UU.|Bandera
🇺🇳	Bandera: Naciones Unidas|Bandera
🇺🇸	Bandera: Estados Unidos|Bandera
🇺🇾	Bandera: Uruguay|Bandera
🇺🇿	Bandera: Uzbekistán|Bandera
🇻🇦	Bandera: Ciudad del Vaticano|Bandera
🇻🇨	Bandera: San Vicente y las Granadinas|Bandera
🇻🇪	Bandera: Venezuela|Bandera
🇻🇬	Bandera: Islas Vírgenes Británicas|Bandera
🇻🇮	Bandera: Islas Vírgenes de EE. UU.|Bandera
🇻🇳	Bandera: Vietnam|Bandera
🇻🇺	Bandera: Vanuatu|Bandera
🇼🇫	Bandera: Wallis y Futuna|Bandera
🇼🇸	Bandera: Samoa|Bandera
🇽🇰	Bandera: Kosovo|Bandera
🇾🇪	Bandera: Yemen|Bandera
🇾🇹	Bandera: Mayotte|Bandera
🇿🇦	Bandera: Sudáfrica|Bandera
🇿🇲	Bandera: Zambia|Bandera
🇿🇼	Bandera: Zimbabue|Bandera
🈁	ideograma japonés para "aquí"|“aquí”|japonés|katakana
🈂	ideograma japonés para "de cortesía"|cortesía|japonés|katakana
🈚	ideograma japonés para "gratis"|gratis|ideograma|japonés|kanji
🈯	ideograma japonés para "reservado"|ideograma|japonés|kanji|reservado
🈲	ideograma japonés para "prohibido"|ideograma|japonés|kanji|prohibido
🈳	ideograma japonés para "vacante"|ideograma|japonés|kanji|vacante
🈴	ideograma japonés para "aprobado"|aprobado|ideograma|japonés|kanji
🈵	ideograma japonés para "completo"|completo|ideograma|japonés|kanji|lleno
🈶	ideograma japonés para "de pago"|“de pago”|ideograma|japonés|kanji
🈷	ideograma japonés para "cantidad mensual"|“cantidad mensual”|ideograma|japonés|kanji
🈸	ideograma japonés para "aplicación"|aplicación|ideograma|japonés|kanji
🈹	ideograma japonés para "descuento"|descuento|ideograma|japonés|kanji
🈺	ideograma japonés para "abierto"|abierto|ideograma|japonés|kanji
🉐	ideograma japonés para "ganga"|ganga|ideograma|japonés|kanji
🉑	ideograma japonés para "aceptable"|aceptable|ideograma|japonés|kanji
🌀	ciclón|clima|huracán|mareo|tifón|tornado
🌁	niebla|bruma|montaña|neblina
🌂	paraguas|accesorios|clima|lluvia|lluvioso|paraguas cerrado|sombrilla
🌃	noche estrellada|estrellas|noche|oscuridad
🌄	amanecer en las montañas|amanecer|amanecer tras montañas|atardecer|montaña|salida sol|sol
🌅	amanecer|atardecer|naturaleza|puesta|puesta de sol|salida sol|sol
🌆	ciudad al atardecer|anochecer|atardecer|ciudad|edificios|paisaje|verano
🌇	puesta de sol sobre edificios|amanecer|atardecer|edificios|puesta|puesta de sol|sol
🌈	arcoíris|clima|colores|lluvia
🌉	puente de noche|de noche|noche|puente|puente nocturno
🌊	ola|agua|azul|mar|naturaleza|oceano|océano|ola de mar|ola oceánica|surf
🌋	volcán|erupción|erupción volcánica|fuego|montaña|naturaleza
🌌	Vía Láctea|cielo|espacio|estrellas|galaxia|láctea|vía
🌍	globo terráqueo Europa/África|África|Europa|globo terráqueo mostrando Europa y África|mundo|planeta|Tierra
🌎	globo terráqueo América|América|bola del mundo|esfera terrestre|globo|globo terraqueo|mapa|mundo|planeta|planeta tierra|terráqueo
🌏	globo terráqueo Asia/Oceanía|Asia|Australia|globo terráqueo mostrando Asia y Australia|mundo|planeta|Tierra
🌐	globo terráqueo con meridianos|globo|globo con meridianos|meridianos|mundo|paralelos|terráqueo|Tierra
🌑	luna nueva|clima|espacio|luna|negra|nueva|oscuridad
🌒	luna nueva visible|clima|creciente|cuarto|espacio|luna|luna en cuarto menguante|menguante|nueva|visible
🌓	luna en cuarto creciente|clima|creciente|cuarto|espacio|luna|noche
🌔	luna gibosa creciente|clima|creciente|espacio|gibosa|luna
🌕	luna llena|clima|espacio|llena|luna|plenilunio
🌖	luna gibosa menguante|clima|espacio|gibosa|luna|menguante
🌗	luna en cuarto menguante|clima|cuarto|espacio|luna|menguante
🌘	luna creciente menguante|clima|creciente|luna|menguante
🌙	media luna|clima|creciente|cuarto|espacio|luna
🌚	luna nueva con cara|cara|espacio|luna|nueva
🌛	luna de cuarto creciente con cara|cara|creciente|cuarto|luna|media
🌜	luna de cuarto menguante con cara|cara|cuarto|espacio|luna|menguante|noche|sueno
🌝	luna llena con cara|brillante|brillar|cara de luna|cara luna llena|luna|luna llena
🌞	sol con cara|brillante|calor|cara sol|cara sol brillante|clima|dia|playa|sol|soleado|verano
🌟	estrella brillante|brillante|brillar|estrella|estrella resplandeciente
🌠	estrella fugaz|espacio|estrella|fugaz|lluvia|lluvia de estrellas
🌡	termómetro|calor|clima|fiebre|temperatura|verano
🌤	soleado con nubes|clima|medio nublado|nube|nublado|sol|sol detrás de nube|sol y nube|tiempo
🌥	nublado|clima|nube|sol|sol detrás de nube grande|tiempo
🌦	soleado con lluvia|clima|lluvia|nube|sol|sol detrás de nube con lluvia|tiempo
🌧	lluvia|clima|nube|nube con lluvia|tiempo
🌨	nieve|clima|frío|nube|nube con nieve
🌩	nubes y relámpagos|clima|nube|nube con rayo|nubes|rayo|relampago|relámpagos|trueno
🌪	tornado|clima|nube|torbellino|viento
🌫	neblina|clima|niebla|nieve|nube|tiempo
🌬	cara de viento|cara|clima|nube|soplar|viento
🌭	salchicha|comida|pan|pancho|perrito|perrito caliente|perro caliente
🌮	taco|comida|mexicana|México
🌯	burrito|comer|comida|mexicana|mexicano
🌰	castaña|almendra|castaña de Indias|castaño|fruto seco|frutos secos
🌱	plántula|germinar|hojas|planta|planta joven|plantita|plantón|semilla
🌲	árbol de hoja perenne|árbol|arbol de navidad|árbol hoja perenne|hoja perenne|navidad|perenne|pino|siempreverde
🌳	árbol caducifolio|árbol|bosque|caducas|caducifolio|hojas|naturaleza|verde
🌴	palmera|árbol|árbol de palma|palma|playa|tropical
🌵	cactus|desierto|naturaleza|planta
🌶	pimiento picante|chile|comida|mexico|picante|pimiento|planta
🌷	tulipán|flor|flor de tulipán|naturaleza
🌸	flor de cerezo|cerezo|flor del cerezo|flores|naturaleza|primavera
🌹	rosa|amor|flor de rosa|naturaleza|pasion|rojo
🌺	flor de hibisco|flor|hibisco|naturaleza
🌻	girasol|naturaleza|pipas|planta|semillas|sol
🌼	flor|campo|naturaleza|planta|primavera
🌽	mazorca de maíz|choclo|espiga|espiga de maíz|granja|maíz|mazorca|mijo|planta
🌾	espiga de arroz|arroz|granos|mazorca de arroz|planta
🌿	hierba|hoja|naturaleza|planta
🍀	trébol de cuatro hojas|4|buena suerte|cuatro hojas|irlanda|suerte|trébol
🍁	hoja de arce|árbol|Canadá|hoja|maple|otoño
🍂	hojas caídas|caída hojas|hoja|naturaleza|otoño
🍃	hoja al viento|hoja|hojas|hojas al viento|hojas arrastradas viento|hojas volando|naturaleza|soplar|viento
🍄	champiñón|alucinar|hongo|mario|seta
🍄‍🟫	champiñón marrón|espora|hongo|hongo café|hongo portabello|hongos|ingrediente|seta|trufa
🍅	tomate|comida|ensalada|fruta|vegetal|verdura
🍆	berenjena|fruto|planta|vegetal|verdura
🍇	uvas|fruta|racimo
🍈	melón|fruta
🍉	sandía|comida|fruta|patilla
🍊	mandarina|fruta|naranja|vitamina c
🍋	limón|arbol|cítrico|citrón|fruta
🍋‍🟩	lima|ácido|cítrico|cóctel|fruta|jugo|limón|margarita|refrescante|zumo
🍌	banana|alimento|fruta|mono|planta|plátano|potasio
🍍	piña|ananá|ananás|fruta|planta|tropical
🍎	manzana roja|comida|fruta|manzana|poma|roja
🍏	manzana verde|fruta|manzana|poma|verde
🍐	pera|alimento|fruta|perilla
🍑	durazno|fruta|melocotón
🍒	cerezas|cereza|fruta|guindas|planta
🍓	fresa|comida|fresón|fruta|frutilla|planta
🍔	hamburguesa|burger|comer|comida rápida
🍕	pizza|alimentos|comer|comida|hambre|italia|peperoni|porción|porción de pizza|queso|restaurante
🍖	carne con hueso|carne|cena|comida|hueso|muslo de pollo|restaurante
🍗	pata de pollo|cena|comida|muslo|muslo de pollo|pata|pavo|pollo|restaurante
🍘	galleta de arroz|arroz|galleta
🍙	bola de arroz|arroz|comida|japonesa|onigiri|restaurante
🍚	arroz cocido|arroz|china|comida|japonesa|restaurante
🍛	arroz con curry|arroz|comida|curry|restaurante
🍜	tazón de fideos|bol de fideos|china|comida|fideos|fideos calientes|fideos chinos|ramen|tazon
🍝	espagueti|cena|comida|espaguetis|pasta|pastas|restaurante|spaguetti
🍞	pan|calorias|comida|desayuno|rebanada|rebanada de pan|rodaja|tostada|trigo
🍟	papas fritas|comida|comida rápida|papas a la francesa|patatas|patatas fritas
🍠	batata asada|asada|batata|comida|papa|patata|restaurante
🍡	brocheta dulce japonesa|bolitas de mochi|brocheta|comida|dango|dulce|japonesa|mochi|pincho bolas mochi|restaurante
🍢	brocheta de mariscos|brochetas|brochettes|comida|japonesa|marisco|mariscos|oden|pincho|pincho japonés|restaurante
🍣	sushi|cena|comer|comida|japonesa|restaurante
🍤	camarones fritos|camarón|camarones|comida|gabardina|gamba|gamba frita|gambas a la gabardina|japonesa|restaurante|tempura
🍥	pastel de pescado|comida|comida japonesa|croqueta|pastel|pastel de pescado japonés|pescado|restaurante
🍦	helado en cucurucho|cucurucho|cucurucho de helado|dulce|helado|helado de cucurucho|restaurante
🍧	hielo molido|comida|dulce|frío|granizado|helado|hielo|nieve|restaurante
🍨	helado|postre|sorbete
🍩	dona|berlina|comida|dónut|dulce|pastel|postre|rosquilla
🍪	galleta|dulce|pasta|postre
🍫	tableta de chocolate|chocolate|dulce|postre|restaurante|tableta
🍬	caramelo|chuche|chuchería|dulce|golosina|postre
🍭	paleta dulce|chuche|chuchería|chupeta|chupetín|dulce|golosina|paleta|piruleta
🍮	flan|comida|postre|pudding|quesillo|restaurante
🍯	tarro de miel|abeja|dulce|miel|pote|tarro
🍰	rebanada de pastel|celebración|cumpleaños|dulce|fiesta|porción de torta|torta
🍱	caja de bento|bento|caja|cena|comida|japonesa|restaurante
🍲	olla de comida|cazuela|comer|comida|comida casera|comida de olla|guiso|olla|perolo|restaurante
🍳	sartén|cocina|cocinar|freír|huevo|huevo frito|restaurante
🍴	cuchillo y tenedor|cena|cocina|comer|comida|cubiertos|delicioso|restaurante
🍵	tazón de té|bebida|taza|taza de té|té
🍶	sake|bar|bebida|botella|botella y tazón sake|japonés|restaurante|tazón
🍷	copa de vino|alcohol|bar|bebida|copa|restaurante|vino
🍸	copa de cóctel|alcohol|bar|bebida|club|cóctel|copa|martini|restaurante
🍹	bebida tropical|bar|bebida|cóctel|mai tai|restaurante|trago|tropical|verano
🍺	tarro de cerveza|bar|bebida|brindar|cerveza|jarra|jarro|restaurante|verano
🍻	brindis con cerveza|bar|bebida|brindar|brindis|celebrar|cerveza|festejar|salud
🍼	biberón|bebé|botella|leche|mamadera|tetero
🍽	plato y cubiertos|cuchillo|cuchillo y tenedor con un plato|plato|restaurante|tenedor
🍾	botella descorchada|beber|brindar|celebración|celebrar|champagne|champan|champán|champaña|festejar
🍿	palomitas de maíz|cine|cotufas|maiz|maíz|palomitas|pelicula|pochoclo
🎀	moño|celebración|cinta|festejo|lazo|regalo|rosa
🎁	regalo|celebración|cumpleaños|envoltorio|moño|presente|regalo envuelto
🎂	pastel de cumpleaños|celebración|cumpleaños|tarta|tarta de cumpleaños
🎃	calabaza|auyama|cabeza de calabaza|celebración|Halloween|linterna|linterna de jack|noche de brujas
🎄	árbol de Navidad|árbol|árbol de navidad|celebración|navidad
🎅	Santa Claus|celebración|Claus|fiesta|Navidad|Noel|Papá Noel|santa
🎆	fuegos artificiales|artificiales|celebración|festejo|fiesta|fuegos
🎇	bengala|artificiales|celebración|festejo|fiesta|fuegos|luz de bengala
🎈	globo|bomba|celebración|cumpleaños|fiesta|rojo
🎉	lanzador de serpentina|celebración|confeti|felicidad|felicidades|fiesta|lanzador de confeti|serpentina
🎊	confeti|celebración|cumpleanos|cumpleaños|felicidades|felicitaciones|festejo|fiesta|lluvia de confeti|piñata
🎋	árbol de tanabata|árbol y trozos de papel|celebración|estrellas|festividad|festividad de estrellas|fiesta|japonesa|papel|tanabata|trozos papel
🎌	banderas cruzadas|banderas|banderas cruzadas japón|banderas de japón cruzadas|celebración|japón
🎍	adorno para pinos|año|celebración|decoración vegetal japonesa|japonés|kadomatsu|nuevo|pino
🎎	muñecas japonesas|celebración|festival|festival muñecas|festividad|hinamatsuri|Japón|muñeca
🎏	banderín con forma de carpa|bandera|banderín|banderín de carpas|celebración|festejo|japonés|koinobori
🎐	campanilla de viento|campanilla|furin|viento
🎑	ceremonia japonesa|celebración|ceremonia|contemplación|contemplación de luna|luna|Otsukimi|tsukimi
🎒	mochila|bolso|colegio|escuela|estudiar|maletín|mochila escolar
🎓	gorro de graduación|birrete|celebración|gorro|grado|graduación
🎖	medalla militar|celebración|ganador|medalla|militar|premio
🎗	cinta conmemorativa|amarillo|cinta|conmemoración|conmemorativo|lazo
🎙	micrófono de grabación|cantante|cantar|estudio|grabación|micrófono|micrófono de estudio|música|voz
🎚	control deslizante|control|deslizar|música|nivel|volumen
🎛	perillas|botones|control|diales|música|perillas de control|potenciómetros|ruedas|ruedas de control|volumen
🎞	cuadros de película|camara|cine|fotograma|película
🎟	entradas|acceso|admisión|boleto|evento|ticket|tique|tíquet
🎠	caballo de carrusel|caballo|caballo de tiovivo|calesita|carrusel|entretenimiento|tiovivo
